UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
DAY,1657497600,267,cadli,BTC-USD,20841.4020253745,20841.4020253745,19893.1712816419,19953.6463431842,1657497600,1657583940,20815.5454326194,20815.5454326194,1657497600,19893.1712816419,1657580760,19953.6463431842,1440,661720.477588744,13527130091.4721,271898.003784536,5554807148.45969,82643.291868943,1688094444.87341,39516.65083179,806105446.242297
DAY,1657584000,267,cadli,BTC-USD,19953.6463431842,20045.0868121122,19272.2209135543,19314.5681356567,1657584000,1657670340,19949.5700316234,20045.0868121122,1657604880,19272.2209135543,1657669920,19314.5681356567,1440,690306.873852639,13624454208.381,303004.162405309,5975343323.826,98966.162553058,1950284420.53504,49504.45262909,975044335.913746
DAY,1657670400,267,cadli,BTC-USD,19314.5681356567,20239.0325461825,18945.0150149065,20239.0325461825,1657670400,1657756740,19321.2344002065,20239.0325461825,1657756740,18945.0150149065,1657716120,20239.0325461825,1440,906328.664536273,17725932426.6563,463568.663046038,9065404644.27812,166075.90091846,3242028747.54382,84859.87435299,1655926776.14995
DAY,1657756800,267,cadli,BTC-USD,20239.0325461825,20840.1233165002,19661.490194163,20587.8286458016,1657756800,1657843140,20198.0049120369,20840.1233165002,1657827060,19661.490194163,1657798440,20587.8286458016,1440,839253.762033888,16912473479.9927,360888.030679294,7279903830.14941,113698.183025164,2298303105.09172,58325.04428838,1180792886.19862
DAY,1657843200,267,cadli,BTC-USD,20587.8286458016,21170.2368538274,20397.2374506993,20823.4872892865,1657843200,1657929540,20583.3643359304,21170.2368538274,1657916880,20397.2374506993,1657848060,20823.4872892865,1440,794253.358327794,16517910311.9593,312760.326208253,6511696864.26428,94148.518023803,1959376447.23369,48194.24470277,1003915891.8786
DAY,1657929600,267,cadli,BTC-USD,20823.4872892865,21558.2172624097,20487.25054338,21209.9251489495,1657929600,1658015940,20825.3475640615,21558.2172624097,1657992120,20487.25054338,1657953420,21209.9251489495,1440,591956.206214943,12400872246.9016,246787.367578076,5184488730.79961,66576.07911746,1399855662.49832,33433.20034426,704583816.991674
DAY,1658016000,267,cadli,BTC-USD,21209.9251489495,21698.1296255994,20761.0751984941,20787.2747890091,1658016000,1658102340,21196.7217981201,21698.1296255994,1658054640,20761.0751984941,1658102220,20787.2747890091,1440,562175.07180224,11942665631.99,235500.203858294,5001968171.14388,63868.482771469,1354580623.69969,32575.27546542,690317676.377727
DAY,1658102400,267,cadli,BTC-USD,20787.2747890091,22708.8717307454,20775.5453322877,22497.1521495936,1658102400,1658188740,20786.9171678336,22708.8717307454,1658159940,20775.5453322877,1658102460,22497.1521495936,1440,947197.697898047,20727785465.992,505515.274067724,11096799318.2146,156585.680373949,3437399169.81395,95367.7588034,2096100118.3815
DAY,1658188800,267,cadli,BTC-USD,22497.1521495936,23752.4766598927,21620.5928885349,23407.3349580126,1658188800,1658275140,22432.5723588589,23752.4766598927,1658267700,21620.5928885349,1658213340,23407.3349580126,1440,1134720.22446228,25622303173.1201,597370.40709263,13498861376.4132,206635.36271606,4681682965.98916,122449.10393348,2773846777.46476
DAY,1658275200,267,cadli,BTC-USD,23407.3349580126,24240.4194574266,22955.1429831251,23221.329625508,1658275200,1658361540,23408.0161761933,24240.4194574266,1658331300,22955.1429831251,1658278680,23221.329625508,1440,1023466.48185723,24157129923.7787,526142.612719136,12413966182.243,177619.346699266,4190753778.21685,101089.66474595,2384502226.6564
DAY,1658361600,267,cadli,BTC-USD,23221.329625508,23427.7380082689,22381.6634347265,23151.3577660337,1658361600,1658447940,23238.8478281114,23427.7380082689,1658366160,22381.6634347265,1658414040,23151.3577660337,1440,777798.120248041,17843374931.4741,404207.954638664,9258813680.53951,125742.788001662,2880227556.94301,72845.91584687,1667620216.44602
DAY,1658448000,267,cadli,BTC-USD,23151.3577660337,23786.0317926149,22538.7207899743,22701.4180913587,1658448000,1658534340,23164.7438841298,23786.0317926149,1658487900,22538.7207899743,1658522760,22701.4180913587,1440,767632.294385361,17818217102.4796,370886.564952037,8609234582.75299,110971.35042462,2574700100.96283,58583.73370743,1359561648.19654
DAY,1658534400,267,cadli,BTC-USD,22701.4180913587,23055.1750239461,21984.6131214252,22463.2046978471,1658534400,1658620740,22716.5801738051,23055.1750239461,1658551560,21984.6131214252,1658599500,22463.2046978471,1440,614708.932778566,13820615580.1104,287057.89669557,6440283763.78935,112927.521356916,2525745900.17411,77099.95193736,1720700500.9206
DAY,1658620800,267,cadli,BTC-USD,22463.2046978471,23011.3459487159,22289.6063479279,22587.3412261066,1658620800,1658707140,22458.4268173316,23011.3459487159,1658702640,22289.6063479279,1658635920,22587.3412261066,1440,999297.965967483,22673476250.8779,671541.218411917,15252730483.753,499838.767383496,11357616505.7023,466449.30345421,10601156530.4145
DAY,1658707200,267,cadli,BTC-USD,22587.3412261066,22679.5629226481,21291.1110741724,21316.7699867919,1658707200,1658793540,22608.3599867587,22679.5629226481,1658708280,21291.1110741724,1658793060,21316.7699867919,1440,1000174.65386155,21944284670.798,408471.412654434,8952600795.21474,119905.720457471,2628096723.5524,61557.98325277,1348695217.82835
